SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"32107","21177","1","2022","Normal","Minecraft","Licensed","Minifig-scale","The Creeper Ambush","X","21177-1","9.99","8.99","13.99","9.99","02/01/2022 00:00:00","05/02/2024 00:00:00","72","2","min009,min108,","Box","Retail","6379560","6379559","5702017156538","673419358576","14.1","12.2","4.6","","3","9","9","7","","4204","498","2","5","X","13","11.4600","5.7100","Erik Jensen,","01/01/2022 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32108","21178","1","2022","Normal","Minecraft","Licensed","Minifig-scale","The Fox Lodge","X","21178-1","19.99","17.99","32.99","19.99","02/01/2022 00:00:00","13/12/2025 00:00:00","193","2","min088,min110,","Box","Retail","6379562","6379561","5702017155791","673419358491","26.2","19.1","6.1","","10","17","12","8","","5328","681","4","6","X","9","12.9200","10.5800","Erik Jensen,","01/01/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32109","21179","1","2022","Normal","Minecraft","Licensed","Minifig-scale","The Mushroom House","X","21179-1","24.99","17.99","32.99","19.99","02/01/2022 00:00:00","18/11/2024 00:00:00","272","2","min017,min065,","Box","Retail","6379564","6379563","5702017156583","673419358507","26.2","19.1","6.1","","10","13","15","8","","3515","594","2","7","X","0","21.7000","10.1400","","01/01/2022 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32110","21180","1","2022","Normal","Minecraft","Licensed","Minifig-scale","The Guardian Battle","X","21180-1","24.99","19.99","34.99","22.99","02/01/2022 00:00:00","05/03/2024 00:00:00","255","1","min109,","Box","Retail","6379566","6379565","5702017156590","673419358514","26.2","19.1","4.6","","12","12","7","8","","2836","671","2","7","X","5","26.7100","16.3100","Joe Kyde,","01/01/2022 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32111","21181","1","2022","Normal","Minecraft","Licensed","Minifig-scale","The Rabbit Ranch","X","21181-1","34.99","29.99","44.99","34.99","02/01/2022 00:00:00","01/03/2024 00:00:00","340","2","min010,min111,","Box","Retail","6379568","6379567","5702017156606","673419358521","35.4","19.1","5.9","","12","22","12","8","","1935","594","2","10","X","0","33.7800","19.1900","Erik Jensen,","01/01/2022 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"34312","21240","1","2023","Normal","Minecraft","Licensed","Minifig-scale","The Swamp Adventure","X","21240-1","9.99","8.99","13.99","9.99","03/12/2022 00:00:00","13/12/2024 00:00:00","65","2","min010,min017,","Box","Retail","6425583","6425582","5702017415154","673419374767","14.1","12.2","4.6","","8","9","8","7","","3507","456","3","7","X","14","10.1700","8.3100","Ricardo Silva,","01/01/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"34313","21241","1","2023","Normal","Minecraft","Licensed","Minifig-scale","The Bee Cottage","X","21241-1","24.99","17.99","32.99","19.99","03/12/2022 00:00:00","13/12/2024 00:00:00","254","2","min127,min136,","Box","Retail","6425585","6425584","5702017415161","673419374774","26.2","19.1","6.1","","10","14","8","8","","2363","537","5","9","X","4","25.1100","27.3300","Erik Jensen,","01/01/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48630","21252","1","2024","Normal","Minecraft","Licensed","Minifig-scale","The Armory","X","21252-1","19.99","17.99","24.99","19.99","08/11/2023 00:00:00","15/01/2026 00:00:00","203","2","min157,min158,","Box","Retail","6470590","6470589","5702017583280","673419388467","","","","","6","9","6","7","","1618","372","2","9","X","4","13.3700","10.4200","","","","X","","1","1","0","0","1","","","","","","","","",""
"48490","21254","1","2024","Normal","Minecraft","Licensed","Minifig-scale","The Turtle Beach House","X","21254-1","26.99","20.99","32.99","26.99","06/12/2023 00:00:00","10/11/2025 00:00:00","234","2","min088,min162,","Box","Retail","6470594","6470593","5702017583303","673419388481","26.2","19.1","6.1","","24","16","5","8","","1573","495","2","9","X","3","14.6900","12.5000","Aron Gerencser,","01/01/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48491","21255","1","2024","Normal","Minecraft","Licensed","Minifig-scale","The Nether Portal Ambush","X","21255-1","37.99","31.99","49.99","37.99","06/12/2023 00:00:00","16/10/2025 00:00:00","352","1","min163,","Box","Retail","6470596","6470595","5702017583310","673419388498","35.4","19.1","7","","11","22","14","8","","1084","507","2","9","X","7","20.0600","20.1300","Isaac Snyder,","01/01/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48900","21266","1","2025","Normal","Minecraft","Licensed","Minifig-scale","The Nether Lava Battle","X","21266-1","9.99","8.99","12.99","9.99","11/12/2024 00:00:00","15/04/2026 00:00:00","99","3","min025,min197,min198,","Box","Retail","6526773","6526772","5702017815404","673419404662","14.1","12.2","4.6","","6","6","5","","","1735","313","2","8","X","14","8.0100","6.0000","Joe Kyde,","01/01/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50691","21272","1","2025","Normal","Minecraft","Licensed","A Minecraft Movie","Woodland Mansion Fighting Ring","X","21272-1","49.99","44.99","64.99","49.99","29/01/2025 00:00:00","15/04/2026 00:00:00","491","5","min208,min215,min216,min217,min218,","Box","Retail","6526785","6526784","5702017815466","673419404723","28.2","26.2","7.6","","17","14","6","10","","735","370","2","8","X","5","51.2000","","","01/03/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
